timestamp,network_slug,network_name,agents,feedback,validations,last_indexed_block,chain_id
2026-06-21T06:08:58.369554Z,avalanche-mainnet,Avalanche C-Chain,1770,14374,Coming Soon,88486276,43114
2026-06-21T06:08:58.369554Z,base-mainnet,Base Mainnet,55942,268016,Coming Soon,47616383,8453
2026-06-21T06:08:58.369554Z,bnb-mainnet,BNB Chain Mainnet,139775,29493,Coming Soon,105474964,56
2026-06-21T06:08:58.369554Z,celo-mainnet,Celo Mainnet,9506,23529,Coming Soon,70121360,42220
2026-06-21T06:08:58.369554Z,ethereum-mainnet,Ethereum Mainnet,35248,3180,Coming Soon,25364070,1
2026-06-21T06:08:58.369554Z,gnosis-mainnet,Gnosis Mainnet,3759,4341,Coming Soon,46806071,100
2026-06-21T06:08:58.369554Z,linea-mainnet,Linea Mainnet,115,31,Coming Soon,31108617,59144
2026-06-21T06:08:58.369554Z,mantle-mainnet,Mantle Mainnet,139,1550,Coming Soon,96945897,5000
2026-06-21T06:08:58.369554Z,monad-mainnet,Monad Mainnet,8766,9101,Coming Soon,82681378,143
2026-06-21T06:08:58.369554Z,optimism-mainnet,OP Mainnet,516,30,Coming Soon,153211660,10
2026-06-21T06:08:58.369554Z,polygon-mainnet,Polygon Mainnet,556,193,Coming Soon,88878078,137
2026-06-21T06:08:58.369554Z,scroll-mainnet,Scroll Mainnet,108,0,Coming Soon,34142286,534352
2026-06-21T06:08:58.369554Z,soneium-mainnet,Soneium Mainnet,0,0,Coming Soon,24443672,1868
2026-06-22T06:02:18.512576Z,abstract-mainnet,Abstract Mainnet,1067,292,Coming Soon,71317290,2741
2026-06-22T06:02:18.512576Z,arbitrum-mainnet,Arbitrum One,1126,107,Coming Soon,476062944,42161
2026-06-22T06:02:18.512576Z,avalanche-mainnet,Avalanche C-Chain,1771,14374,Coming Soon,88555112,43114
2026-06-22T06:02:18.512576Z,base-mainnet,Base Mainnet,55959,275730,Coming Soon,47659384,8453
2026-06-22T06:02:18.512576Z,bnb-mainnet,BNB Chain Mainnet,140477,29493,Coming Soon,105665936,56
2026-06-22T06:02:18.512576Z,celo-mainnet,Celo Mainnet,9522,23741,Coming Soon,70207360,42220
2026-06-22T06:02:18.512576Z,ethereum-mainnet,Ethereum Mainnet,35287,3180,Coming Soon,25371199,1
2026-06-22T06:02:18.512576Z,gnosis-mainnet,Gnosis Mainnet,3759,4341,Coming Soon,46822848,100
2026-06-22T06:02:18.512576Z,linea-mainnet,Linea Mainnet,115,31,Coming Soon,31118696,59144
2026-06-22T06:02:18.512576Z,mantle-mainnet,Mantle Mainnet,140,1590,Coming Soon,96988894,5000
2026-06-22T06:02:18.512576Z,monad-mainnet,Monad Mainnet,8782,9101,Coming Soon,82896024,143
2026-06-22T06:02:18.512576Z,optimism-mainnet,OP Mainnet,516,30,Coming Soon,153254659,10
2026-06-22T06:02:18.512576Z,polygon-mainnet,Polygon Mainnet,556,193,Coming Soon,88935407,137
2026-06-22T06:02:18.512576Z,scroll-mainnet,Scroll Mainnet,108,0,Coming Soon,34151618,534352
2026-06-22T06:02:18.512576Z,soneium-mainnet,Soneium Mainnet,0,0,Coming Soon,24486676,1868
2026-06-24T06:17:56.115243Z,abstract-mainnet,Abstract Mainnet,1071,292,Coming Soon,71618450,2741
2026-06-24T06:17:56.115243Z,arbitrum-mainnet,Arbitrum One,1129,107,Coming Soon,476758043,42161
2026-06-24T06:17:56.115243Z,avalanche-mainnet,Avalanche C-Chain,1771,14374,Coming Soon,88697076,43114
2026-06-24T06:17:56.115243Z,base-mainnet,Base Mainnet,56670,289326,Coming Soon,47746251,8453
2026-06-24T06:17:56.115243Z,bnb-mainnet,BNB Chain Mainnet,142611,29493,Coming Soon,106051939,56
2026-06-24T06:17:56.115243Z,celo-mainnet,Celo Mainnet,9563,24295,Coming Soon,70381099,42220
2026-06-24T06:17:56.115243Z,ethereum-mainnet,Ethereum Mainnet,35367,3180,Coming Soon,25385621,1
2026-06-24T06:17:56.115243Z,gnosis-mainnet,Gnosis Mainnet,3770,4341,Coming Soon,46856716,100
2026-06-24T06:17:56.115243Z,linea-mainnet,Linea Mainnet,115,31,Coming Soon,31140844,59144
2026-06-24T06:17:56.115243Z,mantle-mainnet,Mantle Mainnet,140,1631,Coming Soon,97075765,5000
2026-06-24T06:17:56.115243Z,monad-mainnet,Monad Mainnet,8789,9101,Coming Soon,83329100,143
2026-06-24T06:17:56.115243Z,optimism-mainnet,OP Mainnet,516,30,Coming Soon,153341526,10
2026-06-24T06:17:56.115243Z,polygon-mainnet,Polygon Mainnet,556,193,Coming Soon,89051231,137
2026-06-24T06:17:56.115243Z,scroll-mainnet,Scroll Mainnet,108,0,Coming Soon,34169621,534352
2026-06-24T06:17:56.115243Z,soneium-mainnet,Soneium Mainnet,0,0,Coming Soon,24573544,1868
2026-06-25T07:09:33.072953Z,abstract-mainnet,Abstract Mainnet,1074,292,Coming Soon,71765401,2741
2026-06-25T07:09:33.072953Z,arbitrum-mainnet,Arbitrum One,1130,107,Coming Soon,477116571,42161
2026-06-25T07:09:33.072953Z,avalanche-mainnet,Avalanche C-Chain,1771,14374,Coming Soon,88765848,43114
2026-06-25T07:09:33.072953Z,base-mainnet,Base Mainnet,56873,296075,Coming Soon,47791000,8453
2026-06-25T07:09:33.072953Z,bnb-mainnet,BNB Chain Mainnet,144077,29493,Coming Soon,106250756,56
2026-06-25T07:09:33.072953Z,celo-mainnet,Celo Mainnet,9583,24509,Coming Soon,70470598,42220
2026-06-25T07:09:33.072953Z,ethereum-mainnet,Ethereum Mainnet,35420,3180,Coming Soon,25393037,1
2026-06-25T07:09:33.072953Z,gnosis-mainnet,Gnosis Mainnet,3781,4341,Coming Soon,46874189,100
2026-06-25T07:09:33.072953Z,linea-mainnet,Linea Mainnet,115,31,Coming Soon,31153566,59144
2026-06-25T07:09:33.072953Z,mantle-mainnet,Mantle Mainnet,140,1638,Coming Soon,97120515,5000
2026-06-25T07:09:33.072953Z,monad-mainnet,Monad Mainnet,8791,9101,Coming Soon,83552547,143
2026-06-25T07:09:33.072953Z,optimism-mainnet,OP Mainnet,516,30,Coming Soon,153386279,10
2026-06-25T07:09:33.072953Z,polygon-mainnet,Polygon Mainnet,557,193,Coming Soon,89110898,137
2026-06-25T07:09:33.072953Z,scroll-mainnet,Scroll Mainnet,108,0,Coming Soon,34181522,534352
2026-06-25T07:09:33.072953Z,soneium-mainnet,Soneium Mainnet,0,0,Coming Soon,24618294,1868
2026-06-26T06:43:31.474932Z,abstract-mainnet,Abstract Mainnet,1074,292,Coming Soon,71914278,2741
2026-06-26T06:43:31.474932Z,arbitrum-mainnet,Arbitrum One,1131,107,Coming Soon,477456621,42161
2026-06-26T06:43:31.474932Z,avalanche-mainnet,Avalanche C-Chain,1771,14374,Coming Soon,88835099,43114
2026-06-26T06:43:31.474932Z,base-mainnet,Base Mainnet,57039,302485,Coming Soon,47833418,8453
